# Time-averaged data for fix particle_msd
# TimeStep c_particle_msd[4]
43400 310.809
43500 311.458
43600 315.734
43700 315.712
43800 316.693
43900 314.857
44000 317.339
44100 318.803
44200 319.217
44300 319.815
44400 320.551
44500 319.765
44600 320.161
44700 322.269
44800 322.994
44900 322.758
45000 323.937
45100 325.438
45200 325.527
45300 328.651
45400 328.419
45500 328.767
45600 327.471
45700 331.116
45800 333.568
45900 334.438
46000 334.899
46100 339.764
46200 341.982
46300 341.922
46400 341.962
46500 343.907
46600 345.731
46700 346.385
46800 345.756
46900 345.108
47000 346.837
47100 348.11
47200 347.955
47300 346.836
47400 348.989
47500 350.382
47600 350.018
47700 349.978
47800 352.573
47900 352.321
48000 353.899
48100 355.776
48200 355.813
48300 355.56
48400 355.527
48500 355.664
48600 354.882
48700 356.614
48800 358.415
48900 358.534
49000 358.334
49100 357.718
49200 359.469
49300 358.959
49400 359.1
49500 358.026
49600 359.016
49700 359.972
49800 359.143
49900 356.443
50000 356.453
50100 357.962
50200 359.691
50300 361.823
50400 361.823
50500 362.674
50600 363.722
50700 365.88
50800 367.956
50900 368.879
51000 370.521
51100 370.715
51200 373.111
51300 373.017
51400 372.134
51500 372.73
51600 375.612
51700 377.392
51800 378.052
51900 379.512
52000 379.502
52100 379.355
52200 380.947
52300 381.605
52400 382.234
52500 384.202
52600 385.051
52700 385.346
52800 387.968
52900 390.378
53000 389.486
53100 390.036
53200 387.898
53300 387.779
53400 388.397
53500 387.174
53600 385.224
53700 386.573
53800 389.396
53900 388.542
54000 387.981
54100 390.102
54200 390.53
54300 390.658
54400 389.039
54500 390.028
54600 393.187
54700 393.221
54800 392.23
54900 392.23
55000 392.044
55100 392.01
55200 393.021
55300 392.207
55400 391.769
55500 391.912
55600 391.88
55700 392.333
55800 395.623
55900 398.443
56000 400.133
56100 401.109
56200 400.672
56300 401.118
56400 400.265
56500 400.349
56600 399.923
56700 399.711
56800 400.989
56900 403.174
57000 403.712
57100 405.527
57200 405.722
57300 407.23
57400 407.446
57500 408.851
57600 408.658
57700 409.337
57800 409.689
57900 409.801
58000 411.59
58100 412.345
58200 411.46
58300 410.575
58400 410.766
58500 412.112
58600 413.882
58700 415.193
58800 415.993
58900 415.774
59000 414.3
59100 413.396
59200 415.086
59300 416.374
59400 417.65
59500 417.803
59600 420.396
59700 418.566
59800 419.406
59900 423.977
60000 426.948
60100 430.226
60200 430.162
60300 430.927
60400 428.487
60500 427.062
60600 428.636
60700 430.221
60800 431.75
60900 432.978
61000 431.932
61100 430.091
61200 431.235
61300 430.706
61400 430.82
61500 430.563
61600 432.311
61700 433.983
61800 432.289
61900 432.349
62000 433.427
62100 435.257
62200 434.876
62300 435.456
62400 438.02
62500 439.225
62600 440.889
62700 441.646
62800 442.224
62900 440.732
63000 441.759
63100 443.339
63200 442.271
63300 442.634
63400 444.576
63500 444.994
63600 446.747
63700 445.631
63800 449.047
63900 452.353
64000 454.123
64100 457.56
64200 457.831
64300 456.797
64400 461.114
64500 463.391
64600 465.149
64700 464.011
64800 464.05
64900 462.591
65000 462.993
65100 462.148
65200 461.873
65300 462.735
65400 463.825
65500 463.01
65600 462.103
65700 462.16
65800 462.023
65900 462.663
66000 460.685
66100 462.01
66200 462.013
66300 460.226
66400 460.136
66500 460.983
66600 460.707
66700 460.866
66800 461.796
66900 461.659
67000 465.22
67100 465.355
67200 467.288
67300 471.461
67400 473.653
67500 475.468
67600 472.808
67700 474.363
67800 475.787
67900 477.365
68000 480.591
68100 483.678
68200 483.987
68300 482.963
68400 483.833
68500 481.569
68600 482.144
68700 483.137
68800 483.451
68900 485.298
69000 485.018
69100 483.209
69200 483.648
69300 485.839
69400 488.382
69500 486.999
69600 488.526
69700 489.518
69800 489.843
69900 491.048
70000 488.97
70100 488.617
70200 490.256
70300 489.104
70400 486.492
70500 488.031
70600 487.919
70700 487.289
70800 487.844
70900 485.492
71000 487.21
71100 489.406
71200 490.236
71300 492.277
71400 491.671
71500 492.678
71600 492.319
71700 494.515
71800 498.423
71900 501.817
72000 502.587
72100 503.937
72200 505.555
72300 508.026
72400 508.916
72500 511.773
72600 509.87
72700 509.48
72800 512.073
72900 514.965
73000 516.278
73100 517.724
73200 520.546
73300 524.202
73400 526.38
73500 528.41
73600 531.341
73700 530.042
73800 530.377
73900 530.237
74000 528.937
74100 529.609
74200 531.418
74300 535.161
74400 539.426
74500 538.254
74600 538.131
74700 538.189
74800 540.047
74900 538.535
75000 538.808
75100 537.606
75200 536.437
75300 534.971
75400 535.94
75500 535.632
75600 537.069
75700 536.783
75800 537.842
75900 538.016
76000 539.937
76100 540.891
76200 543.765
76300 549.044
76400 552.313
76500 556.831
76600 556.403
76700 554.487
76800 556.481
76900 555.958
77000 556.45
77100 557.392
77200 556.803
77300 554.779
77400 552.587
77500 552.294
77600 553.066
77700 555.186
77800 553.852
77900 556.101
78000 558.209
78100 559.715
78200 560.945
78300 557.437
78400 558.782
78500 560.02
78600 559.202
78700 560.661
78800 559.48
78900 560.089
79000 561.004
79100 560.774
79200 560.801
79300 561.009
79400 562.615
79500 562.927
79600 561.719
