# Time-averaged data for fix particle_msd
# TimeStep c_particle_msd[4]
100 0.771557
200 1.71158
300 2.63314
400 3.65212
500 4.58093
600 5.57761
700 6.6047
800 7.49324
900 8.51891
1000 9.64642
1100 10.5726
1200 11.2469
1300 12.4502
1400 13.6242
1500 14.6184
1600 15.6897
1700 16.5878
1800 17.8642
1900 18.8798
2000 19.86
2100 20.6425
2200 21.8664
2300 22.4651
2400 23.2764
2500 24.1109
2600 25.2068
2700 25.8424
2800 26.8383
2900 27.8636
3000 28.7795
3100 29.8544
3200 30.9548
3300 32.0724
3400 33.0058
3500 34.1268
3600 35.0043
3700 35.7845
3800 36.875
3900 37.6228
4000 38.5852
4100 39.4199
4200 40.0938
4300 41.1628
4400 42.1727
4500 43.1222
4600 43.9486
4700 45.4863
4800 46.8458
4900 48.3001
5000 49.5176
5100 50.0268
5200 50.5598
5300 51.1131
5400 51.9229
5500 53.0834
5600 54.0166
5700 55.4191
5800 56.3952
5900 57.4647
6000 58.3053
6100 59.4445
6200 60.6572
6300 61.6059
6400 62.7325
6500 63.8528
6600 64.7169
6700 65.478
6800 66.4691
6900 67.373
7000 68.8138
7100 68.9632
7200 69.7859
7300 70.6998
7400 71.7177
7500 72.7234
7600 73.3902
7700 74.8457
7800 75.6165
7900 77.2392
8000 78.7718
8100 79.9319
8200 81.0797
8300 82.28
8400 83.243
8500 84.4562
8600 84.4703
8700 85.5349
8800 86.1547
8900 87.5618
9000 89.2285
9100 89.6099
9200 90.101
9300 89.9487
9400 90.6002
9500 91.6057
9600 92.3922
9700 93.7388
9800 94.6291
9900 95.6253
10000 95.8677
10100 96.778
10200 98.0064
10300 97.9654
10400 99.2129
10500 99.9068
10600 100.35
10700 101.836
10800 102.704
10900 103.098
11000 104.837
11100 104.539
11200 104.5
11300 105.773
11400 106.7
11500 107.739
11600 109.493
11700 110.765
11800 112.391
11900 113.716
12000 114.657
12100 115.353
12200 116.709
12300 117.624
12400 118.662
12500 119.703
12600 121.29
12700 122.82
12800 123.182
12900 123.847
13000 125.117
13100 125.919
13200 126.434
13300 126.562
13400 128.885
13500 129.195
13600 129.752
13700 130.872
13800 131.576
13900 132.568
14000 133.834
14100 134.377
14200 135.233
14300 136.496
14400 137.883
14500 138.832
14600 140.793
14700 141.677
14800 142.424
14900 142.523
15000 143.667
15100 144.597
15200 145.281
15300 145.782
15400 146.712
15500 147.126
15600 147.207
15700 147.225
15800 148.711
15900 149.281
16000 149.844
16100 151.087
16200 152.063
16300 152.946
16400 153.839
16500 154.03
16600 154.351
16700 155.004
16800 156.664
16900 158.011
17000 158.282
17100 158.39
17200 159.054
17300 160.963
17400 160.807
